epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.724,1.08283,5.21259,0.00681,0.76723,0.77019,0.84046,0.52184,1.3267,2.77498,0.0244,0.000663399,0.000663399,0.000663399
2,121.412,1.17105,2.11283,0.00793,0.85022,0.77018,0.88344,0.53193,1.41439,0.96849,0.02191,0.0013169,0.0013169,0.0013169
3,166.61,1.21647,1.14739,0.00836,0.85757,0.77638,0.88168,0.53198,1.4,0.80133,0.02305,0.0019572,0.0019572,0.0019572
4,211.83,1.20819,0.87195,0.00828,0.87321,0.83062,0.90607,0.5559,1.42982,0.70493,0.02488,0.0019406,0.0019406,0.0019406
5,255.939,1.21115,0.76195,0.00864,0.87291,0.84422,0.91675,0.62751,1.13886,0.59839,0.01605,0.0019208,0.0019208,0.0019208
6,301.757,1.16771,0.71108,0.00797,0.81808,0.81351,0.89875,0.59648,1.17163,0.69654,0.01688,0.001901,0.001901,0.001901
7,346.582,1.14653,0.68202,0.00796,0.89818,0.86935,0.94355,0.62588,1.18725,0.5649,0.01711,0.0018812,0.0018812,0.0018812
8,391.605,1.13774,0.63253,0.00769,0.90999,0.88908,0.94827,0.60269,1.31038,0.56016,0.02487,0.0018614,0.0018614,0.0018614
9,437.033,1.09423,0.59704,0.00753,0.86137,0.88988,0.94126,0.63252,1.13558,0.56127,0.01553,0.0018416,0.0018416,0.0018416
10,481.961,1.11699,0.61451,0.00744,0.89673,0.87269,0.94087,0.61208,1.34545,0.56995,0.02336,0.0018218,0.0018218,0.0018218
11,526.744,1.09772,0.58177,0.00742,0.94313,0.87688,0.95483,0.6518,1.16728,0.48194,0.01712,0.001802,0.001802,0.001802
12,571.575,1.0788,0.55299,0.00718,0.92774,0.86683,0.95788,0.65827,1.11999,0.5014,0.01508,0.0017822,0.0017822,0.0017822
13,616.816,1.07291,0.52777,0.00705,0.90667,0.90704,0.95663,0.65983,1.13987,0.47969,0.01622,0.0017624,0.0017624,0.0017624
14,661.881,1.0666,0.54432,0.00694,0.925,0.86767,0.94605,0.65952,1.16798,0.51958,0.01779,0.0017426,0.0017426,0.0017426
15,706.446,1.07238,0.52542,0.00722,0.89216,0.93467,0.95877,0.66918,1.07053,0.45135,0.0138,0.0017228,0.0017228,0.0017228
16,751.756,1.04655,0.51574,0.00682,0.8894,0.88191,0.95021,0.64774,1.10357,0.52335,0.01553,0.001703,0.001703,0.001703
17,797.077,1.05585,0.50286,0.00687,0.88087,0.90955,0.95107,0.65431,1.13471,0.46891,0.01601,0.0016832,0.0016832,0.0016832
18,841.934,1.0478,0.49652,0.00703,0.88687,0.92578,0.95416,0.65086,1.16078,0.44454,0.01715,0.0016634,0.0016634,0.0016634
19,886.56,1.0508,0.52739,0.00687,0.9165,0.86181,0.94731,0.65819,1.10672,0.47523,0.01391,0.0016436,0.0016436,0.0016436
20,931.58,1.02729,0.49903,0.00661,0.89127,0.9196,0.95798,0.67019,1.07277,0.4556,0.0148,0.0016238,0.0016238,0.0016238
21,976.559,1.01703,0.47075,0.00683,0.92072,0.90452,0.96659,0.67476,1.11164,0.41688,0.01652,0.001604,0.001604,0.001604
22,1021.07,1.01249,0.45902,0.00652,0.90648,0.9196,0.95513,0.67675,1.08578,0.44805,0.01635,0.0015842,0.0015842,0.0015842
