epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2749,0.96587,6.01884,0.00484,0.87825,0.84465,0.90827,0.68025,0.915,4.88711,0.00536,0.000661972,0.000661972,0.000661972
2,123.738,1.09444,2.74719,0.00543,0.90028,0.87297,0.92858,0.68528,0.91754,0.96209,0.00548,0.00131548,0.00131548,0.00131548
3,168.934,1.08032,1.36697,0.00549,0.91868,0.87842,0.94661,0.68257,1.03941,0.57832,0.00636,0.0019558,0.0019558,0.0019558
4,212.685,1.06729,0.93112,0.0055,0.93193,0.86015,0.92563,0.67231,1.04234,0.58861,0.00638,0.0019406,0.0019406,0.0019406
5,257.074,1.09518,0.75975,0.00568,0.94657,0.89147,0.94963,0.72169,0.92645,0.47605,0.00548,0.0019208,0.0019208,0.0019208
6,301.804,1.07741,0.62449,0.00552,0.94443,0.898,0.96012,0.73001,0.94429,0.44646,0.00571,0.001901,0.001901,0.001901
7,346.623,1.06718,0.59296,0.00534,0.95183,0.91096,0.96925,0.6987,1.06243,0.42983,0.0064,0.0018812,0.0018812,0.0018812
8,390.47,1.01129,0.52804,0.00517,0.95131,0.91473,0.97273,0.72466,0.93391,0.3939,0.00575,0.0018614,0.0018614,0.0018614
9,434.254,1.01796,0.50641,0.00518,0.96724,0.90616,0.96558,0.73775,0.94688,0.39591,0.00566,0.0018416,0.0018416,0.0018416
10,478.446,1.00842,0.49428,0.00516,0.96139,0.91439,0.97241,0.74043,0.92252,0.36887,0.00555,0.0018218,0.0018218,0.0018218
11,522.943,1.01007,0.49561,0.00503,0.95242,0.91718,0.96927,0.74682,0.90201,0.37629,0.00539,0.001802,0.001802,0.001802
12,567.323,1.00209,0.47276,0.005,0.9507,0.89229,0.96503,0.74073,0.91455,0.42681,0.00554,0.0017822,0.0017822,0.0017822
13,611.339,0.97947,0.48447,0.00481,0.96268,0.91563,0.97708,0.74446,0.90208,0.34548,0.00546,0.0017624,0.0017624,0.0017624
14,655.003,0.99469,0.47661,0.00502,0.95139,0.91718,0.97206,0.74736,0.87967,0.36112,0.0053,0.0017426,0.0017426,0.0017426
15,699.22,0.97829,0.44538,0.00476,0.97652,0.91611,0.97496,0.75014,0.90417,0.35139,0.00541,0.0017228,0.0017228,0.0017228
16,744.185,0.96989,0.43654,0.00485,0.9575,0.92833,0.97733,0.76959,0.83921,0.32954,0.005,0.001703,0.001703,0.001703
17,788.419,0.99264,0.45255,0.00493,0.96545,0.91922,0.98065,0.73284,0.96516,0.36759,0.00618,0.0016832,0.0016832,0.0016832
18,832.597,0.99533,0.43731,0.00492,0.95573,0.93367,0.98211,0.74899,0.92209,0.33428,0.00554,0.0016634,0.0016634,0.0016634
